# C380-221 CERTIFICATE (official, batch 1)
# initial division N0=4 (h=pi/4); bisection: longest edge, tie-break a,b,c
# depth cap 12; outward inflation 1e-12; strict criterion L > 1/2
# a1 a2 b1 b2 c1 c2 witness_q certified_lower_bound
2.5525440310417071 2.748893571891069 2.748893571891069 3.1415926535897931 1.1780972450961724 1.5707963267948966 2 1.1795804270950123
2.3561944901923448 2.5525440310417071 2.9452431127404308 3.1415926535897931 1.1780972450961724 1.5707963267948966 2 0.84775906501480702
2.454369260617026 2.5525440310417071 2.748893571891069 2.9452431127404308 1.3744467859455345 1.5707963267948966 2 0.80439420639697534
2.3561944901923448 2.454369260617026 2.8470683423157501 2.9452431127404308 1.4726215563702154 1.5707963267948966 2 0.66293922459697852
2.3561944901923448 2.454369260617026 2.748893571891069 2.8470683423157501 1.4726215563702154 1.5707963267948966 5 1.2181792817045656
2.3561944901923448 2.454369260617026 2.748893571891069 2.9452431127404308 1.3744467859455345 1.4726215563702154 5 0.77446983315092877
2.3561944901923448 2.5525440310417071 2.748893571891069 2.9452431127404308 1.1780972450961724 1.3744467859455345 5 1.1345427086278026
2.3561944901923448 2.748893571891069 2.748893571891069 3.1415926535897931 0.78539816339744828 1.1780972450961724 2 0.70710678117742531
2.3561944901923448 2.748893571891069 2.3561944901923448 2.748893571891069 0.78539816339744828 1.5707963267948966 5 0.8236269482644123
2.748893571891069 3.1415926535897931 2.3561944901923448 3.1415926535897931 0 0.78539816339744828 2 1.41421356236368
2.3561944901923448 2.748893571891069 2.748893571891069 3.1415926535897931 0 0.78539816339744828 2 1.41421356236368
2.3561944901923448 2.748893571891069 2.3561944901923448 2.748893571891069 0 0.78539816339744828 5 0.53073372945166697
2.748893571891069 3.1415926535897931 1.9634954084936207 2.3561944901923448 2.748893571891069 3.1415926535897931 2 0.70710678117801129
2.9452431127404308 3.1415926535897931 2.1598449493429825 2.3561944901923448 2.3561944901923448 2.748893571891069 2 1.0823922002837789
2.9452431127404308 3.1415926535897931 1.9634954084936207 2.1598449493429825 2.3561944901923448 2.748893571891069 6 1.1795804270950065
2.748893571891069 2.9452431127404308 2.1598449493429825 2.3561944901923448 2.3561944901923448 2.748893571891069 2 0.64884669763365166
2.748893571891069 2.9452431127404308 1.9634954084936207 2.1598449493429825 2.5525440310417071 2.748893571891069 9 0.59997727573320414
2.8470683423157501 2.9452431127404308 2.0616701789183018 2.1598449493429825 2.454369260617026 2.5525440310417071 2 0.7468890805732592
2.8470683423157501 2.9452431127404308 2.0125827937059615 2.0616701789183018 2.454369260617026 2.5525440310417071 2 0.58924297828529004
2.8470683423157501 2.9452431127404308 1.9634954084936207 2.0125827937059615 2.5034566458293668 2.5525440310417071 2 0.5390103394779755
2.8470683423157501 2.9452431127404308 1.9634954084936207 2.0125827937059615 2.454369260617026 2.5034566458293668 3 0.5217096938018857
2.748893571891069 2.8470683423157501 1.9634954084936207 2.1598449493429825 2.454369260617026 2.5525440310417071 3 0.77406281870311899
2.748893571891069 2.9452431127404308 1.9634954084936207 2.1598449493429825 2.3561944901923448 2.454369260617026 3 0.65621657723572424
2.9452431127404308 3.1415926535897931 1.5707963267948966 1.9634954084936207 2.748893571891069 3.1415926535897931 2 0.55486584620264778
2.748893571891069 2.9452431127404308 1.7671458676442586 1.9634954084936207 2.9452431127404308 3.1415926535897931 4 0.70710678117683878
2.8470683423157501 2.9452431127404308 1.8653206380689396 1.9634954084936207 2.748893571891069 2.9452431127404308 2 0.70710678117861747
2.748893571891069 2.8470683423157501 1.8653206380689396 1.9634954084936207 2.748893571891069 2.9452431127404308 7 1.5130700163564654
2.748893571891069 2.9452431127404308 1.7671458676442586 1.8653206380689396 2.748893571891069 2.9452431127404308 4 0.76536686472033144
2.748893571891069 2.9452431127404308 1.5707963267948966 1.7671458676442586 2.748893571891069 3.1415926535897931 4 1.4142135623636796
2.9452431127404308 3.1415926535897931 1.7671458676442586 1.9634954084936207 2.5525440310417071 2.748893571891069 4 0.70710678117742498
3.043417883165112 3.1415926535897931 1.7671458676442586 1.9634954084936207 2.3561944901923448 2.5525440310417071 4 0.84775906501480791
2.9452431127404308 3.043417883165112 1.7671458676442586 1.9634954084936207 2.454369260617026 2.5525440310417071 10 0.83146961229329874
2.9452431127404308 3.043417883165112 1.8653206380689396 1.9634954084936207 2.3561944901923448 2.454369260617026 6 0.59997727573318749
2.9452431127404308 3.043417883165112 1.7671458676442586 1.8653206380689396 2.3561944901923448 2.454369260617026 4 1.1795804270950114
2.9452431127404308 3.1415926535897931 1.5707963267948966 1.7671458676442586 2.3561944901923448 2.748893571891069 4 1.8284271247383597
2.748893571891069 2.9452431127404308 1.7671458676442586 1.9634954084936207 2.5525440310417071 2.748893571891069 7 0.9307564537078995
2.8470683423157501 2.9452431127404308 1.9144080232812801 1.9634954084936207 2.5034566458293668 2.5525440310417071 7 0.61816640059142258
2.8961557275280905 2.9452431127404308 1.9144080232812801 1.9634954084936207 2.454369260617026 2.5034566458293668 10 0.69966226794192932
